experiment,date,sample,cohort,group,drug,age _wks,spleen_mg,wound,perNP_m_nv,perMO_m_nv,perB_m_nv,perT_m_nv,perDC_m_nv,NP_m_nv,MO_m_nv,B_m_nv,T_m_nv,DC_m_nv,perNP_m_iv,perMO_m_iv,perB_m_iv,perT_m_iv,perDC_m_iv,NP_m_iv,MO_m_iv,B_m_iv,T_m_iv,DC_m_iv,perNP_b,perMO_b,perB_b,perT_b,perDC_b,NP_ul_b,MO_ul_b,B_ul_b,T_ul_b,DC_ul_b,OF_cross_05,OF_cross_610,OF_cross_010,OF_time_05,OF_time_610,OF_time_010,OF_m_05,OF_m_610,OF_m_010,OF_feces,LF_time,LD_cross,SI_approach_05,SI_approach_610,SI_approach_010,SI_05,SI_610,SI_010,SI_social_05,SI_social_610,SI_social_010,SI_nonsocial_05,SI_nonsocial_610,SI_nonsocial_010,USM_mark,USM_area,USM_F_area,USM_pref
NP-13,Sept - Oct 2019,1,1,HC ,,13.43,79.1,1,16.0,4.5,20.4,6.3,8.5,1528,430,1945,603,649,2.6,1.5,7.2,1.6,1.7,227,135,660,136,160,26.4,1.6,62.8,3.6,0.4,154,10,367,21,3,20,18,38,7.85,14.40,11.12,11.52,9.96,21.48,0,,,30,20,50,3.06,1.70,2.26,65.38,52.23,117.61,21.37,30.74,52.11,1,33.31,5.68,17.06
NP-13,Sept - Oct 2019,3,1,HC ,,13.43,72.2,1,18.4,4.9,18.9,7.2,8.4,2766,730,2839,1082,1023,1.8,1.9,6.6,1.6,1.6,224,261,957,198,236,8.6,1.0,77.3,7.5,0.5,17,2,154,15,1,25,29,54,17.56,16.32,16.94,15.07,12.75,27.82,0,,,17,25,42,1.80,1.38,1.57,53.46,51.14,104.6,29.65,37.01,66.66,0,0.53,0.53,0.00
NP-13,Sept - Oct 2019,5,1,HC ,,13.43,69.6,1,17.4,4.1,18.8,5.4,7.6,2483,588,2669,768,981,1.2,1.4,6.8,1.4,0.7,136,184,904,173,99,4.7,1.4,82.2,4.7,0.7,12,4,216,12,2,23,19,42,22.04,18.49,20.27,12.31,10.71,23.02,0,,,,,,,,,,,,,,,1,37.36,8.80,23.56
NP-13,Sept - Oct 2019,7,1,HC ,,13.43,66.4,1,17.6,5.0,20.6,2.6,7.3,5068,1438,5932,736,1445,3.3,1.5,5.0,1.4,2.3,882,389,1383,344,672,19.8,0.5,69.0,4.8,0.4,113,3,392,27,2,32,19,51,11.43,13.91,12.67,16.15,12.73,28.88,4,,,25,16,41,4.13,3.57,3.90,61.57,37.5,99.07,14.92,10.51,25.43,1,64.61,16.43,25.42
NP-13,Sept - Oct 2019,10,2,HC ,,14.29,70.4,1,11.8,4.0,27.3,4.4,8.8,884,296,2038,327,571,0.8,1.4,5.2,1.1,1.2,56,95,379,63,89,7.2,0.8,79.1,6.7,1.0,34,4,377,32,5,15,18,33,20.30,12.51,16.41,8.86,8.85,17.71,0,,,24,24,53,3.77,2.27,2.87,78.18,71.7,149.88,20.72,31.55,52.27,1,11.81,4.45,37.67
NP-13,Sept - Oct 2019,12,2,HC ,,14.29,80.9,1,17.7,4.7,24.1,3.2,7.1,3215,851,4371,575,1154,0.8,1.8,7.5,0.7,0.8,125,299,1317,114,140,5.5,0.6,78.3,9.3,1.0,41,5,589,70,7,18,14,32,7.85,8.59,8.22,11.25,11.87,23.12,2,,,23,31,48,4.27,3.88,4.06,60.3,58.68,118.98,14.13,15.14,29.27,0,0.68,0.68,0.00
NP-13,Sept - Oct 2019,14,2,HC ,,14.29,80.7,1,23.3,5.8,19.8,2.4,6.2,4914,1224,4177,513,1015,1.2,2.0,8.2,1.2,1.4,202,375,1684,203,289,7.0,0.7,77.2,7.2,1.1,26,2,289,27,4,14,10,24,18.63,5.14,11.89,12.32,11.12,23.44,6,,,28,25,54,1.36,3.55,2.20,50.49,81.94,132.43,37.22,23.07,60.29,1,5.21,0.50,9.66
NP-13,Sept - Oct 2019,16,2,HC ,,14.29,79.8,1,20.0,5.2,19.8,3.4,6.6,2734,710,2715,469,657,1.8,2.0,5.8,0.9,1.8,210,249,764,101,251,7.5,0.9,74.1,10.6,0.7,32,4,313,45,3,18,11,29,15.06,10.86,12.96,13.29,10.02,23.32,0,,,19,28,47,2.98,3.56,3.31,53.24,88.97,142.21,17.88,25.02,42.9,1,2.39,0.09,3.93
Exo14NP,Oct-18,2,1,HC,,10.43,74,,21.01,2.5,18.64,2.76,,,,,,,1.98,1.1,10.99,1.47,,,,,,,,,,,,,,,,,43,33,76,23.02,35.10,29.06,12.07,8.68,20.76,0,62.10,48,25,17,42,1.77,2.85,2.11,32.54,23.47,56.01,18.36,8.23,26.59,,,,
Exo14NP,Oct-18,4,1,HC,,10.43,72,,26.89,3.43,17.42,2.54,,,,,,,2.39,1.03,8.42,1.39,,,,,,,,,,,,,,,,,28,26,54,27.39,41.77,34.58,7.53,6.62,14.16,2,74.14,37,17,20,37,3.54,1.28,2.07,51.74,34.5,86.24,14.6,27,41.6,,,,
Exo14NP,Oct-18,6,1,HC,,10.43,70,,24.27,2.72,22.39,1.98,,,,,,,2.63,0.47,9.42,1.09,,,,,,,,,,,,,,,,,34,21,55,14.62,16.75,15.69,10.88,8.41,19.29,0,63.20,59,21,39,60,1.07,1.79,1.46,32.79,65.85,98.64,30.68,36.85,67.53,,,,
Exo14NP,Oct-18,10,2,HC,,11.00,71,,26.16,1.59,21.12,1.54,,,,,,,1.99,0.37,8.20,1.72,,,,,,,,,,,,,,,,,37,32,69,20.81,21.08,20.94,10.71,9.04,19.75,3,57.06,78,26,14,40,1.10,0.79,0.88,44.34,79.5,123.84,40.37,100.53,140.9,,,,
Exo14NP,Oct-18,12,2,HC,,11.00,84,,25.86,1.65,17.65,2.87,,,,,,,1.26,0.31,7.04,0.94,,,,,,,,,,,,,,,,,37,31,68,37.11,28.01,32.56,9.46,6.69,16.15,1,53.30,45,24,27,51,4.22,4.64,4.47,41.86,65.22,107.08,9.91,14.06,23.97,,,,
NP-1,Nov 2018 - Jan 2019,29,4,HC,,,66,1,28.87,5.92,30.15,1.82,3.91,,,,,,0.34,0.30,2.77,0.10,0.17,,,,,,8.34,0.81,72.18,7.54,0.84,,,,,,,,,,,,,,,,,,2,8,10,0.17,0.73,0.45,1.74,7.3,9.04,10.04,9.97,20.01,0,,,
NP-1,Nov 2018 - Jan 2019,30,4,HC,,,55,1,23.71,6.00,28.46,1.52,4.58,,,,,,0.26,0.34,4.06,0.06,0.15,,,,,,4.36,0.59,74.79,9.35,0.64,,,,,,,,,,,,,,,,,,22,18,40,1.61,6.31,3.16,34.23,65.89,100.12,21.27,10.44,31.71,1,,,
NP-1,Nov 2018 - Jan 2019,31,4,HC,,,70,1,22.84,5.22,27.45,1.64,5.43,,,,,,0.40,0.35,2.69,0.10,0.23,,,,,,4.65,0.65,73.98,9.84,0.36,,,,,,,,,,,,,,,,,,16,13,29,1.58,2.32,1.91,28.17,33.33,61.5,17.87,14.34,32.21,1,,,
NP-1,Nov 2018 - Jan 2019,32,4,HC,,,71,1,29.25,6.19,27.58,1.32,3.80,,,,,,0.43,0.40,3.02,0.10,0.40,,,,,,4.95,1.03,70.69,10.44,0.88,,,,,,,,,,,,,,,,,,32,32,64,3.31,3.88,3.56,61.76,54.99,116.75,18.65,14.18,32.83,1,,,
NP-1,Nov 2018 - Jan 2019,33,4,HC,,,70,1,25.13,5.57,24.72,3.07,5.49,,,,,,0.47,0.58,4.51,0.11,0.18,,,,,,1.87,0.82,84.87,4.45,1.04,,,,,,,,,,,,,,,,,,13,16,29,1.38,1.46,1.43,16.76,23.47,40.23,12.16,16.03,28.19,0,,,
NP-1,Nov 2018 - Jan 2019,34,4,HC,,,46,1,22.40,4.49,27.37,2.48,4.09,,,,,,0.37,0.40,3.60,0.12,0.30,,,,,,5.65,1.30,75.49,6.44,1.21,,,,,,,,,,,,,,,,,,17,28,45,1.93,7.14,4.11,25.79,68.93,94.72,13.38,9.66,23.04,0,,,
NP-1,Nov 2018 - Jan 2019,35,4,HC,,,85,1,33.11,7.31,26.00,1.42,4.36,,,,,,0.50,0.56,2.81,0.06,0.23,,,,,,13.63,0.89,70.96,6.01,1.04,,,,,,,,,,,,,,,,,,21,16,37,2.02,1.82,1.93,44.56,35.93,80.49,22.06,19.73,41.79,0,,,
NP-1,Nov 2018 - Jan 2019,36,4,HC,,,64,1,28.75,6.51,25.93,2.57,3.99,,,,,,0.49,0.41,2.64,0.19,0.36,,,,,,9.14,0.38,69.33,6.03,1.63,,,,,,,,,,,,,,,,,,15,21,36,1.66,1.07,1.24,27.73,42.32,70.05,16.69,39.6,56.29,0,,,
NP-3,Jan - Feb 2019,2,1,HC,,,80,1,26.19,4.06,23.41,3.93,7.67,,,,,,0.17,0.15,3.09,0.10,0.32,,,,,,8.55,0.99,50.78,22.30,0.92,,,,,,,,,,,,,,,,58.07,44,26,26,52,2.16,3.05,2.61,40.43,57.55,97.98,18.71,18.86,37.57,,,,
NP-3,Jan - Feb 2019,4,1,HC,,,93,1,31.75,6.38,22.87,4.66,7.35,,,,,,0.14,0.15,2.68,0.18,0.34,,,,,,8.03,0.53,58.97,20.47,1.08,,,,,,,,,,,,,,,,44.75,55,25,20,45,1.98,1.30,1.52,38.8,51.93,90.73,19.57,40.04,59.61,,,,
NP-3,Nov - Dec 2019,7,3,HC,,,74,1,15.40,7.08,14.00,8.13,8.03,,,,,,3.42,0.84,2.37,1.31,2.18,,,,,,67.20,0.26,14.50,10.50,0.10,,,,,,,,,,,,,,,,41.21,39,,,,,,,,,,,,,,,,
NP-3,Nov - Dec 2019,9,3,HC,,,53,1,17.90,8.04,21.60,6.37,7.70,,,,,,1.64,1.06,2.78,0.90,1.80,,,,,,34.50,0.22,32.40,22.60,0.23,,,,,,,,,,,,,,,,52.42,33,,,,,,,,,,,,,,,,
NP-3,Nov - Dec 2019,11,4,HC,,,87,1,22.00,7.36,16.50,0.33,10.10,,,,,,1.95,1.51,5.91,0.03,0.87,,,,,,10.30,2.10,55.70,0.01,0.44,,,,,,,,,,,,,,,,53.57,51,,,,,,,,,,,,,,,,
NP-3,Nov - Dec 2019,13,4,HC,,,75,1,28.20,9.32,16.70,0.26,7.47,,,,,,0.73,1.10,2.73,0.06,0.82,,,,,,13.90,1.24,47.20,0.05,1.67,,,,,,,,,,,,,,,,49.37,45,,,,,,,,,,,,,,,,
NP-4,Feb - Mar 2019,4,1,HC,Vehicle,,65,1,22.27,5.97,28.88,3.36,4.57,,,,,,0.75,0.21,2.44,0.24,0.78,,,,,,43.42,0.31,44.06,6.04,1.02,,,,,,15,14,29,18.27,10.73,14.50,6.31,7.30,13.61,,46.91,54,30,28,58,1.87,5.19,2.98,61.23,85.91,147.14,32.83,16.56,49.39,1,,,
NP-4,Feb - Mar 2019,8,1,HC,Vehicle,,66,1,27.92,7.48,30.92,3.41,2.46,,,,,,0.30,0.17,3.64,0.19,0.30,,,,,,9.25,0.13,76.52,7.99,0.95,,,,,,18,26,44,12.49,20.92,16.71,6.93,6.96,13.90,,48.44,52,18,24,42,1.64,1.15,1.33,41.34,49,90.34,25.18,42.77,67.95,1,,,
NP-4,Feb - Mar 2019,9,3,HC,Vehicle,,76,1,31.74,7.04,25.21,4.40,3.87,,,,,,0.40,0.38,3.02,0.41,1.08,,,,,,7.16,0.43,75.35,9.24,2.18,5,0,51,6,1,28,23,51,13.83,20.32,17.08,9.58,7.85,17.43,,40.54,50,23,23,46,1.69,3.05,2.27,55.56,74.23,129.79,32.87,24.3,57.17,,,,
NP-4,Feb - Mar 2019,13,3,HC,Vehicle,,nd,1,35.49,8.15,20.13,3.65,4.14,,,,,,0.50,0.45,3.17,0.48,1.42,,,,,,12.10,0.30,73.49,6.95,1.80,19,0,118,11,3,31,24,55,12.13,24.81,18.47,9.58,7.49,17.07,,53.03,36,20,24,44,2.13,1.58,1.78,47.33,60.44,107.77,22.19,38.24,60.43,,,,
NP-4,Nov - Dec 2019,20,4,HC,Vehicle,,70,1,28.21,9.05,28.95,1.94,2.98,,,,,,0.85,1.35,4.78,0.59,1.87,,,,,,11.54,0.84,75.94,3.31,0.69,,,,,,,,,,,,,,,,,,20,15,35,0.91,0.88,0.90,44.57,46.7,91.27,48.77,53.15,101.92,,,,
NP-4,Nov - Dec 2019,22,4,HC,Vehicle,,71,1,24.13,9.29,28.57,3.25,4.68,,,,,,0.72,1.25,4.24,0.35,0.75,,,,,,5.94,0.46,74.45,7.32,0.82,,,,,,,,,,,,,,,,,,14,17,31,0.39,0.78,0.58,23.06,41.26,64.32,58.53,52.79,111.32,,,,
NP-4,Nov - Dec 2019,26,5,HC,Vehicle,,83,1,14.34,6.07,23.69,7.44,8.49,,,,,,0.11,0.49,5.92,0.21,0.36,,,,,,3.91,0.59,76.75,12.06,1.35,,,,,,,,,,,,,,,,,,11,11,22,2.05,2.38,2.21,82.53,94.39,176.92,40.27,39.7,79.97,,,,
NP-4,Nov - Dec 2019,28,5,HC,Vehicle,,107,1,26.40,6.84,18.03,5.80,8.04,,,,,,0.16,0.72,3.99,0.24,0.70,,,,,,12.73,1.63,73.91,5.18,1.32,,,,,,,,,,,,,,,,,,21,24,45,1.56,2.42,1.99,51.04,78.3,129.34,32.74,32.34,65.08,,,,
NP-4,Nov - Dec 2019,33,6,HC,Vehicle,,81,1,22.25,4.99,23.05,4.87,9.25,,,,,,0.20,0.43,4.98,0.28,0.87,,,,,,24.09,1.75,52.39,4.73,0.84,,,,,,,,,,,,,,,,,,27,18,45,2.14,2.35,2.25,57.01,66.77,123.78,26.66,28.36,55.02,,,,
NP-4,Nov - Dec 2019,34,6,HC,Vehicle,,77,1,27.40,8.59,28.84,4.48,5.93,,,,,,0.08,0.15,2.04,0.14,0.34,,,,,,31.88,1.01,40.16,6.38,0.50,,,,,,,,,,,,,,,,,,19,24,43,1.83,1.71,1.77,50.5,58.63,109.13,27.55,34.19,61.74,,,,
NP-4,Nov - Dec 2019,42,8,HC,Vehicle,,84,1,19.52,6.16,25.94,3.49,8.18,,,,,,0.12,0.37,4.63,0.22,0.50,,,,,,6.69,0.54,75.97,9.21,1.36,18,1,208,25,4,,,,,,,,,,,,,,15,,,0.87,,,44.26,,,51.08,,,,,
NP-4,Nov - Dec 2019,43,8,HC,Vehicle,,69,1,21.34,5.80,22.20,4.74,8.73,,,,,,0.29,0.45,3.62,0.32,1.44,,,,,,7.63,0.71,75.33,8.57,1.46,20,2,202,23,4,,,,,,,,,,,,,,17,,,2.25,,,62.99,,,28.04,,,,,
NP-5,Mar-19,1,4,HC,,32.86,68,,23.50,7.34,11.58,1.08,2.19,,,,,,0.69,1.24,4.98,0.73,0.97,,,,,,9.99,1.61,62.34,8.16,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP-5,Mar-19,2,3,HC,,12.00,73,,14.61,4.80,16.06,1.09,4.20,,,,,,2.38,1.32,4.48,1.66,1.66,,,,,,5.43,0.40,55.21,6.95,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP-5,Mar-19,4,3,HC,,12.00,74,,7.78,3.04,12.33,0.79,4.54,,,,,,1.75,0.99,4.47,1.57,1.57,,,,,,7.92,0.57,54.12,2.32,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP-8,Sep-19,1,1,HC,IgG,13.29,74.2,1,23.61,5.92,23.00,5.00,15.23,,,,,,1.31,0.95,6.10,0.41,0.79,,,,,,3.39,0.17,81.85,8.65,1.21,,,,,,12,15,27,8.62,12.35,10.49,9.23,8.68,17.91,6,,,21,16,37,0.99,0.50,0.70,46.57,33.74,80.31,47.05,68.03,115.08,0,0,0,0
