sample,group,cohort,weight_g,spleen_mg,wound,men_nvNP,men_ivNP,bl_NP,sk_NP,sp_NP,tib_NP,men_nvMO,men_ivMO,bl_MO,sk_MO,sp_MO,tib_MO,men_nvL,men_ivL,bl_L,sk_L,sp_L,tib_L
1,HC,1,30.71,75.2,1,12.06,0.16,13.79,33.65,1.26,33.03,4.83,0.497,1.617,10.86,1,6.54,38.66,8.40,74.70,47.06,91.80,49.92
2,CSD,1,31.7,74.1,3,28.13,1.02,68.17,47.58,11.27,52.77,8.44,2.636,2.989,13.84,2.31,12.26,35.26,3.85,25.50,31.78,80.48,25.72
3,CSD,1,27.6,44.2,9,36.98,1.42,78.74,46.58,6.3,55.95,25.1,0.602,0.321,19.09,2.17,16.19,48.28,4.94,18.65,28.72,85.74,19.33
4,HC,1,31.11,77.4,1,15.13,1.28,65.61,28.39,2.87,31.18,11.75,0.325,0.34,21.67,0.78,8.75,71.11,11.54,30.54,52.74,90.71,49.88
5,HC,2,28.7,77.7,1,13.73,0.37,6.79,32.91,0.74,36.22,5.37,0.249,0.718,13.87,0.63,14.38,46.63,6.65,86.76,44.94,93.77,45.78
6,CSD,2,29.7,88.7,6,21.42,0.43,58.67,38.81,9.75,49.14,16.7,1.442,1.675,17.13,1.56,17.23,78.60,4.43,35.21,37.83,84.13,30.20
7,CSD,2,29,82.6,5,9.16,0.84,56.15,36.05,6.93,52.67,3.46,1.309,5.692,15.45,0.98,14.32,47.32,3.46,34.20,42.29,88.27,30.10
8,HC,2,27.9,89.9,1,6.36,0.15,7.06,32.17,0.72,39.65,3.81,0.191,1.328,13.09,0.69,14.71,40.11,5.34,84.09,46.08,93.51,47.81
9,HC,3,31.1,94.4,1,17.39,0.16,5.67,34.37,0.51,38.95,8.24,0.278,0.802,13.72,0.57,12.54,37.26,5.82,88.00,42.60,93.60,41.08
10,CSD,3,28.4,77.1,1,15.35,0.56,52.52,37.86,2.18,44.49,7.49,0.271,0.679,14.69,0.72,15.2,37.34,5.66,42.78,39.90,93.05,36.61
11,CSD,3,28.5,98.3,3,23.98,0.88,67.01,36.88,3.77,51.99,15.38,0.325,0.822,14.32,0.88,16.5,49.11,4.42,29.28,42.99,91.22,26.06
12,CSD,3,30.2,114.4,9,31.67,0.34,36.82,51.69,4.31,57.39,16.86,0.106,0.905,17.64,1.75,16.41,49.17,2.43,57.75,25.10,88.35,19.56
13,HC,3,28.1,115.8,1,16.28,0.21,8.4,30.49,0.87,38.78,7.09,0.278,0.851,9.56,0.49,12.76,45.46,5.68,83.34,52.94,93.58,45.31
14,HC,4,31.05,66,1,21.1,0.21,6.21,36.44,0.47,45.23,12.34,0.384,0.818,11.65,0.83,11.97,51.70,4.61,87.31,43.78,94.01,38.10
15,CSD,4,32.05,87.6,7,28.88,1.01,28.04,47.35,8.23,56.77,14.35,0.705,0.725,16.1,1.24,16.17,38.36,3.00,57.60,30.84,85.66,22.14
16,CSD,4,31.76,153.4,5,27.53,1.5,48.71,52.2,8.11,54.37,14.62,2.257,15.147,14.71,2.23,14.87,33.49,3.44,33.00,28.21,85.54,22.57
17,HC,4,30.9,101.1,1,13.5,0.78,2.92,31.38,1.28,38.96,8.61,0.436,0.094,13.18,0.76,13.15,45.80,7.37,89.04,46.16,91.91,42.85
